Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Ґжицький,Марʼяна,Федорівна,female,1991-09-20,Аудитор,селище Соснівка ,"площа 411-ї батареї, буд. 54, Глиняни, 69819",+380 57 504-69-32,umanetsmaryna@example.org
Філіпенко,Андрій,Васильович,male,1941-11-10,Асистент керівника,хутір Броди,"провулок Ушакова, буд. 016, Гірник , 22676",+380 (53) 308-90-36,weibozhenko@example.net
Чумаченко,Нестор,Михайлович,male,1942-12-20,Менеджер з закупівель,хутір Новодністровськ,"вулиця Металістів, буд. 6 кв. 5, Чернівці, 53816",411-11-55,fedir74@example.com
Яремко,Микита,Мар'янович,male,1981-12-17,Фінансовий аналітик,селище Слов'янськ,"вулиця Олександра Вронського, буд. 902 кв. 8, Дубляни, 22945",+380 46 833 35 04,itsymbaliuk@example.com
Ящук,Еріка,Іванівна,female,1964-08-17,Дизайнер,хутір Слов'янськ,"сквер Заводська 3-тя, буд. 92 кв. 46, Гадяч, 72343",066 480-98-82,arkadiivysochan@example.org
Ящук,Зиновій,Борисович,male,1999-12-27,Тестувальник,селище Тараща,"вулиця Пржевальського, буд. 9, Балаклія, 88342",+380 75 540-58-48,msamoilenko@example.org
Швайка,Златослава,Вікторівна,female,1957-04-02,Аналітик даних,місто Боково-Хрустальне,"провулок Андросовський, буд. 6 кв. 654, Верхньодніпровськ, 69796",041 729 89 80,barabashdavyd@example.org
Андрієнко,Єлисавета,Ігорівна,female,1987-11-01,Офіс-менеджер,хутір Бар,"сквер Центральна, буд. 168 кв. 552, Кам'янка-Бузька, 96713",007 218-84-27,kkolesnychenko@example.net
Харченко,Ірина,Василівна,female,1986-06-23,Менеджер з продукту,хутір Святогірськ,"проспект Надіїі, буд. 42, Кам'янець-Подільський, 47918",+380 10 180-63-82,anzhela72@example.com
Гупало,Опанас,Михайлович,male,1990-02-27,Аудитор,село Бар,"сквер Дружний, буд. 31, Путивль, 12232",698-81-71,leopold20@example.com
Вакуленко,Ярема,Мар'янович,male,1996-10-19,Інженер з якості,село Малин,"узвіз Парковий, буд. 9, Василівка , 30600",+380 82 446-48-63,darynaadamenko@example.net
Алексюк,Євген,Тарасович,male,1971-08-23,Фінансовий аналітик,селище Гірник ,"проспект Ананьївська, буд. 3 кв. 9, Кам'янка-Бузька, 10099",735-93-95,myron87@example.org
Баранник,Руслан,Олегович,male,1979-08-01,HR-менеджер,місто Олександрія,"узвіз Льва Симиренка, буд. 2, Чуднів, 97724",+380 (51) 211-67-52,lukianmatviienko@example.net
Бандурка,Артем,Борисович,male,1978-03-10,Копірайтер,село Лутугине,"сквер Артезіанська, буд. 6, Помічна, 82347",947 01 61,uartiushenko@example.org
Оробець,Наталія,Олексіївна,female,1966-06-25,Менеджер з маркетингу,селище Ужгород,"провулок Літній, буд. 7 кв. 5, Харцизьк, 02476",005 023 44 70,fedir28@example.com
Власюк,Аарон,Костянтинович,male,1950-12-15,Системний адміністратор,хутір Дружба ,"проспект Морський 2-й, буд. 95 кв. 7, Конотоп, 33902",669 82 99,kolodubiosyp@example.net
Ященко,Златослава,Давидівна,female,2006-01-07,Інженер з якості,селище Добропілля,"площа Лінія 36-та, буд. 27 кв. 9, Добропілля, 05305",876 42 74,ievhenakymenko@example.com
Масоха,Лесь,Тарасович,male,1986-10-07,Аналітик даних,місто Миколаївка ,"набережна Хаджибейський 1-й, буд. 526, Новий Калинів, 27798",+380 (65) 811-29-34,zoriankomar@example.org
Яремків,Альбіна,Мар'янівна,female,1968-06-21,Офіс-менеджер,місто Бориспіль,"провулок Локомотивний 3-й, буд. 625 кв. 4, Заводське, 46188",+380 (29) 018-06-37,kfartushniak@example.org
Доценко,Альберт,Павлович,male,1978-11-24,Менеджер з продажу,місто Ізмаїл,"вулиця Ланжеронівський узвіз, буд. 20 кв. 385, Калуш, 24659",+380 99 113-40-09,stepan30@example.net
Дуплій,Тереза,Олексіївна,female,1940-05-18,Менеджер з продукту,місто Лохвиця,"площа Лінія 53-тя, буд. 29 кв. 7, Лебедин, 33006",881-05-81,paliisemen@example.org
Шевченко,Ярослав,Романович,male,1966-12-29,Аудитор,село Зимогір'я,"вулиця Панаса Мирного, буд. 6, Сколе, 62563",+380 90 866-70-97,odarka04@example.net
Баклан,Ігнат,Назарович,male,2004-06-05,PR-менеджер,місто Броди,"сквер Регенсбург, буд. 6 кв. 01, Амвросіївка, 94659",+380 32 164 78 38,sirchenkohlib@example.org
Кащенко,Віктор,Олегович,male,2004-08-24,PR-менеджер,селище Баштанка,"сквер Шишкіна 3-й, буд. 3 кв. 78, Чортків, 13437",+380 53 171 12 98,bakumenkomilena@example.com
Алексеєнко,Омелян,Павлович,male,2003-03-25,Інженер з якості,селище Привілля,"проспект Селекційний, буд. 672, Нетішин, 63396",+380 05 152 57 22,stanislav91@example.net
Андріїшин,Спас,Денисович,male,1993-01-05,Менеджер з продажу,село Бахмач,"вулиця Академічна, буд. 43 кв. 8, Полтава, 82667",062 268 32 66,babarychenkoroksolana@example.org
Василевич,Аніта,Сергіївна,female,1971-06-23,Системний адміністратор,село Городище ,"площа 3-тя Лінія Марії Демченко, буд. 345 кв. 1, Керч, 39448",032-66-29,dhaidenko@example.net
Самойленко,Володимира,Юріївна,female,1953-07-01,Менеджер з продажу,місто Мерефа,"провулок Поштова, буд. 2, Хмільник, 61408",189-11-65,babiakroman@example.net
Лупій,Охрім,Мар'янович,male,1952-02-11,Фінансовий аналітик,село Джанкой,"проспект Шостої 1-й, буд. 4 кв. 9, Погребище, 99213",+380 25 520-30-57,olifirenkoazar@example.net
Бараник,Орина,Денисівна,female,1939-02-14,Тестувальник,селище Берегове,"набережна Юннатів, буд. 408 кв. 0, Вознесенськ, 47544",+380 (79) 650-61-72,ihor02@example.org
Філіпенко,Євген,Костянтинович,male,1963-09-23,Дизайнер,селище Дрогобич,"проспект Балківська, буд. 50 кв. 41, Старий Самбір, 54965",037 527-56-44,ieromenkoopanas@example.net
Дробʼязко,Амалія,Борисівна,female,1996-08-18,Аудитор,селище Світлодарськ,"парк Василя Кандинського 3-й, буд. 524 кв. 32, Хирів, 20116",+380 13 839-43-42,babkobohuslav@example.net
Шаблій,Одарка,Остапівна,female,2006-05-18,Менеджер з продажу,село Костянтинівка,"парк Дачний 1-й, буд. 84 кв. 400, Яворів, 38275",+380 48 395-39-23,ihnat35@example.com
Удовенко,Емілія,Вікторівна,female,1959-01-22,Бухгалтер,хутір Калуш,"набережна Колективний, буд. 198, Новомиргород, 30698",093 054 34 36,hordii30@example.com
Цимбалюк,Борислав,Назарович,male,1951-10-12,Дизайнер,село Покров,"шосе Лінія 41-ша, буд. 97 кв. 7, Хуст, 10214",809 35 09,bohodariefymenko@example.org
Ільєнко,Емілія,Григоріївна,female,2000-09-23,Системний адміністратор,селище Сокиряни,"провулок Гаріна, буд. 2 кв. 24, Кремінна, 87949",+380 (78) 865-75-16,bohdan22@example.com
Гуцуляк,Володимир,Олександрович,male,1957-12-25,Менеджер з продажу,селище Копичинці,"парк 7-ма Лінія 6-й ст. Люстдорфської дороги, буд. 08 кв. 8, Старобільськ, 08779",047 896 56 72,hlib24@example.org
